년도,날짜,시간,구장,팀1,팀2,조,경기,결과,경고
1990,06.25,21:00,올림피코 경기장 (로마),이탈리아,우루과이,w54,A1E3,2:0,
1990,06.26,17:00,마르크안토니오 벤테고디 (베로나),스페인,유고,w55,E1D2,1:1_0:1,
1990,06.26,21:00,레나토 달라라 경기장 (볼로냐),잉글랜드,벨기에,w56,F1E2,0:0_1:0,
1990,06.30,17:00,아르테미오 프란키 경기장 (피렌체),아르헨티나,유고,w57,w51w55,0:0_0:0_3:2,
1990,06.30,21:00,올림피코 경기장 (로마),아일랜드,이탈리아,w58,w53w54,0:1,
1990,07.01,17:00,주세페 메아차 경기장 (밀라노),체코,서독,w59,w50w52,0:1,
1990,07.01,21:00,산 파올로 경기장 (나폴리),카메룬,잉글랜드,w60,w49w56,2:2_0:1,
1990,07.03,20:00,산 파올로 경기장 (나폴리),이탈리아,아르헨티나,w61,w58w57,1:1_0:0_3:4,
1990,07.04,20:00,델레 알피 경기장 (토리노),잉글랜드,서독,w62,w60w59,1:1_0:0_3:4,
1990,07.07,20:00,산 니콜라 경기장 (바리),이탈리아,잉글랜드,w63,L61L62,2:1,
1990,07.08,20:00,올림피코 경기장 (로마),아르헨티나,서독,w64,w61w62,0:1,
1994,06.18,05:00,솔저 필드 (시카고),독일,볼리비아,C조,C12,1:0,
1994,06.18,09:30,코튼볼 (댈러스),스페인,대한민국,C조,C34,2:2,
1994,06.19,00:30,폰티액 실버돔 (폰티액),미국,스위스,A조,A14,1:1,
1994,06.19,05:00,자이언츠 스타디움 (이스트러더퍼드),이탈리아,아일랜드,E조,E13,0:1,
1994,06.19,11:30,로즈 볼 (패서디나),콜롬비아,루마니아,A조,A23,1:3,
1994,06.20,02:30,시트러스 볼 (올랜도),벨기에,모로코,F조,F12,1:0,
1994,06.20,05:00,RFK 스타디움 (워싱턴 D.C.),노르웨이,멕시코,E조,E42,1:0,
1994,06.20,11:30,로즈 볼 (패서디나),카메룬,스웨덴,B조,B24,2:2,
1994,06.21,08:00,스탠퍼드 스타디움 (스탠퍼드),브라질,러시아,B조,B13,2:0,
1994,06.21,08:30,RFK 경기장 (워싱턴 D.C.),네덜란드,사우디,F조,F34,2:1,
1994,06.22,02:30,폭스버러 경기장 (폭스버러),아르헨티나,그리스,D조,D14,4:0,
1994,06.22,06:00,솔저 필드 (시카고),독일,스페인,C조,C13,1:1,
1994,06.22,09:30,코튼볼 (댈러스),나이지리아,불가리아,D조,D23,3:0,
1994,06.23,05:00,폰티액 실버돔 (폰티액),루마니아,스위스,A조,A34,1:4,
1994,06.23,11:30,로즈 볼 (패서디나),미국,콜롬비아,A조,A12,2:1,
1994,06.24,05:00,자이언츠 스타디움 (이스트러더퍼드),이탈리아,노르웨이,E조,E14,1:0,
1994,06.24,09:30,폭스버러 경기장 (폭스버러),대한민국,볼리비아,C조,C42,0:0,
1994,06.25,02:30,시트러스 볼 (올랜도),멕시코,아일랜드,E조,E23,2:1,
1994,06.25,08:00,스탠퍼드 스타디움 (스탠퍼드),브라질,카메룬,B조,B12,3:0,
1994,06.25,08:30,폰티액 실버돔 (폰티액),스웨덴,러시아,B조,B43,3:1,
1994,06.26,01:30,자이언츠 스타디움 (이스트러더퍼드),사우디,모로코,F조,F42,2:1,
1994,06.26,01:30,시트러스 볼 (올랜도),벨기에,네덜란드,F조,F13,1:0,
1994,06.26,06:00,폭스버러 경기장 (폭스버러),아르헨티나,나이지리아,D조,D12,2:1,
1994,06.27,02:30,솔저 필드 (시카고),불가리아,그리스,D조,D34,4:0,
1994,06.27,08:00,스탠퍼드 스타디움 (스탠퍼드),스위스,콜롬비아,A조,A42,0:2,
1994,06.27,08:00,로즈 볼 (패서디나),미국,루마니아,A조,A13,0:1,
1994,06.28,06:00,솔저 필드 (시카고),볼리비아,스페인,C조,C23,1:3,
1994,06.28,06:00,코튼볼 (댈러스),독일,대한민국,C조,C14,3:2,
1994,06.28,19:30,RFK 스타디움 (워싱턴 D.C.),이탈리아,멕시코,E조,E12,1:1,
1994,06.28,19:30,자이언츠 스타디움 (이스트러더퍼드),아일랜드,노르웨이,E조,E34,0:0,
1994,06.29,08:00,폰티액 실버돔 (폰티액),브라질,스웨덴,B조,B14,1:1,
1994,06.29,08:00,스탠퍼드 스타디움 (스탠퍼드),러시아,카메룬,B조,B32,6:1,
1994,06.30,01:30,RFK 경기장 (워싱턴 D.C.),벨기에,사우디,F조,F14,0:1,
1994,06.30,01:30,시트러스 볼 (올랜도),모로코,네덜란드,F조,F23,1:2,
1994,07.01,09:30,코튼볼 (댈러스),아르헨티나,불가리아,D조,D13,0:2,
1994,07.01,09:30,폭스버러 경기장 (폭스버러),그리스,나이지리아,D조,D42,0:2,
1994,07.02,17:30,RFK 경기장 (워싱턴 D.C.),스위스,스페인,w49,A2C2,0:3,
1994,07.03,01:00,솔저 필드 (시카고),독일,벨기에,w50,C1F3,3:2,
1994,07.04,03:00,코튼볼 (댈러스),스웨덴,사우디,w51,B2F2,3:1,
1994,07.04,04:30,로즈 볼 (패서디나),루마니아,아르헨티나,w52,A1D3,3:2,
1994,07.05,01:00,시트러스 볼 (올랜도),네덜란드,아일랜드,w53,F1E2,2:0,
1994,07.05,03:30,스탠퍼드 스타디움 (스탠퍼드),브라질,미국,w54,B1A3,1:0,
1994,07.06,02:00,폭스버러 경기장 (폭스버러),나이지리아,이탈리아,w55,D1E3,1:1_0:1,
1994,07.06,05:30,자이언츠 스타디움 (이스트러더퍼드),멕시코,불가리아,w56,E1D2,1:1_0:0_1:3,
1994,07.10,01:00,폭스버러 경기장 (폭스버러),이탈리아,스페인,w57,w55w49,2:1,
1994,07.10,05:30,코튼볼 (댈러스),네덜란드,브라질,w58,w53w54,2:3,
1994,07.11,01:00,자이언츠 경기장 (이스트러더퍼드),불가리아,독일,w59,w56w50,2:1,
1994,07.11,04:30,스탠퍼드 스타디움 (스탠퍼드),루마니아,스웨덴,w60,w52w51,2:2_0:0_4:5,
1994,07.14,08:30,로즈 볼 (패서디나),스웨덴,브라질,w61,w60w58,0:1,
1994,07.14,05:00,자이언츠 스타디움 (이스트러더퍼드),불가리아,이탈리아,w62,w59w57,1:2,
1994,07.17,04:30,로즈 볼 (패서디나),스웨덴,불가리아,w63,L61L62,4:0,
1994,07.18,04:30,로즈 볼 (패서디나),브라질,이탈리아,w64,w61w62,0:0_0:0_3:2,
1998,06.11,00:30,스타드 드 프랑스 (생드니),브라질,스코틀랜드,A조,A13,2:1,
1998,06.11,04:00,스타드 드 라 모송 (몽펠리에),모로코,노르웨이,A조,A42,2:2,
1998,06.12,00:30,파르크 레스퀴르 (보르도),이탈리아,칠레,B조,B13,2:2,
1998,06.12,04:00,툴루즈 시립 경기장 (툴루즈),카메룬,오스트리아,B조,B42,1:1,
1998,06.12,21:30,스타드 드 라 모송 (몽펠리에),파라과이,불가리아,D조,D32,0:0,
1998,06.13,00:30,스타드 펠릭스 볼라르 (랑스),사우디,덴마크,C조,C32,0:1,
1998,06.13,04:00,스타드 벨로드롬 (마르세유),프랑스,남아공화국,C조,C14,3:0,
1998,06.13,21:30,스타드 드 라 보주아르 (낭트),스페인,나이지리아,D조,D14,2:3,
1998,06.14,00:30,스타드 드 제를랑 (리옹),대한민국,멕시코,E조,E34,1:3,
1998,06.14,04:00,스타드 드 프랑스 (생드니),네덜란드,벨기에,E조,E12,0:0,
1998,06.14,21:30,툴루즈 시립 경기장 (툴루즈),아르헨티나,일본,H조,H13,1:0,
1998,06.15,00:30,스타드 조프루아 기샤르 (생테티엔),유고,이란,F조,F23,1:0,
1998,06.15,04:00,스타드 펠릭스 볼라르 (랑스),자메이카,크로아티아,H조,H42,1:3,
1998,06.15,21:30,스타드 벨로드롬 (마르세유),잉글랜드,튀니지,G조,G24,2:0,
1998,06.16,00:30,스타드 드 제를랑 (리옹),루마니아,콜롬비아,G조,G13,1:0,
1998,06.16,04:00,파르크 데 프랭스 (파리),독일,미국,F조,F14,2:0,
1998,06.17,00:30,파르크 레스퀴르 (보르도),스코틀랜드,노르웨이,A조,A32,1:1,
1998,06.17,04:00,스타드 드 라 보주아르 (낭트),브라질,모로코,A조,A14,3:0,
1998,06.18,00:30,스타드 조프루아 기샤르 (생테티엔),칠레,오스트리아,B조,B32,1:1,
1998,06.18,04:00,스타드 드 라 모송 (몽펠리에),이탈리아,카메룬,B조,B14,3:0,
1998,06.19,00:30,툴루즈 시립 경기장 (툴루즈),남아공화국,덴마크,C조,C42,1:1,
1998,06.19,04:00,스타드 드 프랑스 (생드니),프랑스,사우디,C조,C13,4:0,
1998,06.20,00:30,파르크 데 프랭스 (파리),나이지리아,불가리아,D조,D42,1:0,
1998,06.20,04:00,스타드 조프루아 기샤르 (생테티엔),스페인,파라과이,D조,D13,0:0,
1998,06.20,21:30,스타드 드 라 보주아르 (낭트),일본,크로아티아,H조,H32,0:1,
1998,06.21,00:30,파르크 레스퀴르 (보르도),벨기에,멕시코,E조,E24,2:2,
1998,06.21,04:00,스타드 벨로드롬 (마르세유),네덜란드,대한민국,E조,E13,5:0,
1998,06.21,21:30,스타드 펠릭스 볼라르 (랑스),독일,유고,F조,F12,2:2,
1998,06.22,00:30,파르크 데 프랭스 (파리),아르헨티나,자메이카,H조,H14,5:0,
1998,06.22,04:00,스타드 드 제를랑 (리옹),미국,이란,F조,F43,1:2,
1998,06.23,00:30,스타드 드 라 모송 (몽펠리에),콜롬비아,튀니지,G조,G34,1:0,
1998,06.23,04:00,툴루즈 시립 경기장 (툴루즈),루마니아,잉글랜드,G조,G12,2:1,
1998,06.23,23:00,스타드 드 라 보주아르 (낭트),칠레,카메룬,B조,B34,1:1,
1998,06.23,23:00,스타드 드 프랑스 (생드니),이탈리아,오스트리아,B조,B12,2:1,
1998,06.24,04:00,스타드 조프루아 기샤르 (생테티엔),스코틀랜드,모로코,A조,A34,0:3,
